#,What was the purpose of your trip when you used handy?,rate,Unlimited data/internet browsing,Speed of internet connection,Unlimited international calls,Unlimited local calls,Direct dial to hotel reception,Newsfeed,LUXOS City Guide,Discounted deals/tickets,Battery life,Is there any feature you would like handy to add or improve?,Adventure Junky,Culture Lover,Fashionista,Pampering Seeker,Foodie,Local Explorer,Night Owl,Other,Are you a planner or a spontaneous traveler?,Would you likely pick a hotel that has handy in the future?,Would you likely recommend handy to a friend of colleague?,survey,Start Date (UTC),Submit Date (UTC),Network ID
20bbbe517811f576c55a8e39fe0345bd,Leisure,3,4,3,5,5,3,3,3,2,4,it is preferred to provide share Wi-Fi network service,,Culture Lover,,,,,,,I just go with the flow,1,8,52a465c0-559a-11e7-ba2a-c05627b0f912,2017-06-21 03:07:35,2017-06-21 03:14:38,4452cc63b2
e9f267ceeac34f945ac2895d843f211c,Business,4,5,5,4,4,4,3,4,4,3,,,,,,Foodie,,,,I would like to ask for suggestions,1,9,4c616a14-559a-11e7-b97a-c05627b0f912,2017-06-21 03:12:50,2017-06-21 03:14:42,4bcc8b76dc
6e835e67ff89fc7bf13066eb384ddd5b,Business,5,5,5,5,3,4,2,2,2,2,data sharing(tethering),,,,,Foodie,,,,I like to plan everything before the trip,1,10,7faf3eb3-559a-11e7-9c4e-c05627b0f912,2017-06-21 03:12:23,2017-06-21 03:14:46,13ed15c666
88f56e45842ab528896ec6b17093b8e0,Business,4,3,2,5,3,3,3,3,1,5,,,,,,,Local Explorer,,,I would like to ask for suggestions,1,10,4f402afd-559a-11e7-aa86-c05627b0f912,2017-06-21 03:13:38,2017-06-21 03:14:51,ca4505f0bc
b7e9468083a0c5b3e286ccaa81ce19ca,Leisure,4,4,5,1,1,3,4,4,4,4,Please include how to...since everytime i try toas the reception desk on how to use the phone feature,etc...they r too busy and I can't wait all day for them to ezplore the city. Thanks,Adventure Junky,,,Pampering Seeker,Foodie,Local Explorer,,,I like to plan everything before the trip,1,7,6dbc2a8c-559a-11e7-b546-c05627b0f912,2017-06-21 03:12:13,2017-06-21 03:14:53,96e6b05910
3aa3982251d40be7a05ef108caa1a22f,Leisure,3,3,4,5,5,4,4,3,3,4,A little complicated to understand and use,,,Fashionista,,Foodie,Local Explorer,Night Owl,,I like to plan everything before the trip,1,7,7410904c-559a-11e7-ba4d-c05627b0f912,2017-06-21 03:11:16,2017-06-21 03:14:56,feadf45c20
072318b2ca7de838972125c58b7bfcae,Business,5,4,4,4,4,4,4,4,4,4,,,,,,Foodie,,,Business ,I just go with the flow,1,8,82aa2187-559a-11e7-b570-c05627b0f912,2017-06-21 03:10:36,2017-06-21 03:14:58,3760f2fece
6ee085b1f5b4729b569487cd5a57465c,Business,5,5,3,4,4,4,3,4,4,3,No,,,,,,Local Explorer,,,I like to plan everything before the trip,1,9,7278ea6b-559a-11e7-8b0a-c05627b0f912,2017-06-21 03:11:45,2017-06-21 03:15:00,bd947df25e
4aca0f9a576f461425d3db244718640c,Business,3,2,2,3,3,4,3,3,3,1,It was very slow to start. Touch screen was very bad as it was not working properly. You should increase the list of countries to cover free calls to landlines.,,,,,,,,Culture Explorer,I like to plan everything before the trip,1,10,711262a1-559a-11e7-a1b3-c05627b0f912,2017-06-21 03:08:53,2017-06-21 03:15:17,27f3edd0c4
2e94bbf7512522a664c4ed82f39037cc,Leisure,5,4,4,5,5,5,4,4,4,4,,,,Fashionista,,Foodie,,,,I like to plan everything before the trip,1,8,4c20d940-559a-11e7-be95-c05627b0f912,2017-06-21 03:13:43,2017-06-21 03:15:37,228c537eab
4fc8cf082536ce2c3a1a31d5515f68e5,Business,3,3,3,4,4,4,2,4,1,4,,,,Fashionista,,Foodie,Local Explorer,,,I just go with the flow,1,10,7e801d57-559a-11e7-986c-c05627b0f912,2017-06-21 03:13:24,2017-06-21 03:15:39,8b9b0a1c7f
f396d9d79aff7263849ff066ce495f5b,Leisure,3,4,3,1,1,1,2,1,1,1,,,,,,Foodie,,,,I just go with the flow,0,4,84b6910a-559a-11e7-ae3e-c05627b0f912,2017-06-21 03:10:20,2017-06-21 03:15:40,8b3743f845
cd9d4c0f6bb0ec388e49f746307f3a11,Leisure,3,3,3,1,5,5,1,1,1,3,,,,,,Foodie,,,,I like to plan everything before the trip,1,10,4ec14023-559a-11e7-977c-c05627b0f912,2017-06-21 03:14:17,2017-06-21 03:15:51,b0c4323c10
73b9c69d08e7a84940fb60b57d810418,Business,5,5,5,5,5,5,5,5,5,4,It's really a user-friendly and customer delightful,Adventure Junky,Culture Lover,,,,Local Explorer,,,I like to plan everything before the trip,1,10,4e4e1730-559a-11e7-86e7-c05627b0f912,2017-06-21 03:13:41,2017-06-21 03:15:52,2405:204:1
79714c6d4c91ab845f6c08941ecad27f,Leisure,5,5,5,5,4,5,4,5,4,5,,,Culture Lover,Fashionista,,Foodie,Local Explorer,Night Owl,,I like to plan everything before the trip,1,9,747c86e3-559a-11e7-8f8e-c05627b0f912,2017-06-21 03:14:40,2017-06-21 03:15:59,a6db042ed3
99dd3e64c028c092f2cc2d5d9492412c,Leisure,3,4,4,4,4,1,3,3,3,2,No,Adventure Junky,Culture Lover,Fashionista,Pampering Seeker,,Local Explorer,,,I like to plan everything before the trip,0,5,81b6b60f-559a-11e7-abdc-c05627b0f912,2017-06-21 03:13:39,2017-06-21 03:16:00,9ccc5efd95
78efa70690ea49968f9679d9ad7431ea,Leisure,3,5,5,5,5,5,5,5,5,2,Battery life is too short.  System is easily down.,,,,,,,,Family visit,I like to plan everything before the trip,1,10,6ffd1bf8-559a-11e7-adde-c05627b0f912,2017-06-21 03:10:00,2017-06-21 03:16:11,4850c1bf2c
43e48c684ef8ce66c30fc2cd074fa77c,Business,5,5,5,3,4,3,1,1,1,5,,,,,Pampering Seeker,Foodie,Local Explorer,,,I like to plan everything before the trip,1,10,5a8399dc-559a-11e7-b716-c05627b0f912,2017-06-21 03:14:38,2017-06-21 03:16:24,521164e8db
14d1cf49bc07fd8d6e4dd4cce007c160,Leisure,5,5,5,5,4,5,5,5,5,5,No. It was really helpful for our stay,Adventure Junky,Culture Lover,Fashionista,,,Local Explorer,Night Owl,,I just go with the flow,1,10,507d25a1-559a-11e7-a680-c05627b0f912,2017-06-21 03:13:51,2017-06-21 03:16:29,2001:8003:
d48172024edc391093417b8e3fe03eb0,Leisure,3,4,4,3,3,4,3,4,4,3,,,Culture Lover,,,Foodie,Local Explorer,,,I just go with the flow,1,8,6528dee1-559a-11e7-bbb9-c05627b0f912,2017-06-21 03:10:36,2017-06-21 03:16:30,163f30e664
18c40afbdd7ec53e8eb186990328cf49,Business,5,5,5,5,5,5,5,5,5,5,Nope. This Handy is really help me out during my business trip in Singapore..thanks alot,,,,,Foodie,,,,I like to plan everything before the trip,1,10,74634640-559a-11e7-9f84-c05627b0f912,2017-06-21 03:13:19,2017-06-21 03:16:37,52a29df5c9
a6eb8447c2afc7664d5d0e810bc3d431,Leisure,5,5,5,5,5,5,5,5,5,5,,,,,Pampering Seeker,,,,,I just go with the flow,1,10,4762b568-559a-11e7-84cb-c05627b0f912,2017-06-21 03:13:35,2017-06-21 03:16:46,0fda7e4e97
